neighbourhood,Stay classification,price
ARMADALE,Holiday,82.32
ARMADALE,short term,42.0
ARMADALE,Medium term,
ARMADALE,Long Term,
BASSENDEAN,Holiday,63.33
BASSENDEAN,short term,
BASSENDEAN,Medium term,
BASSENDEAN,Long Term,
BAYSWATER,Holiday,66.39
BAYSWATER,short term,
BAYSWATER,Medium term,
BAYSWATER,Long Term,
BELMONT,Holiday,63.32
BELMONT,short term,87.5
BELMONT,Medium term,
BELMONT,Long Term,
CAMBRIDGE,Holiday,97.5
CAMBRIDGE,short term,80.0
CAMBRIDGE,Medium term,
CAMBRIDGE,Long Term,
CANNING,Holiday,58.14
CANNING,short term,
CANNING,Medium term,
CANNING,Long Term,
CLAREMONT,Holiday,69.86
CLAREMONT,short term,33.0
CLAREMONT,Medium term,
CLAREMONT,Long Term,
COCKBURN,Holiday,76.19
COCKBURN,short term,
COCKBURN,Medium term,
COCKBURN,Long Term,50.0
COTTESLOE,Holiday,108.45
COTTESLOE,short term,
COTTESLOE,Medium term,
COTTESLOE,Long Term,
EAST FREMANTLE,Holiday,70.4
EAST FREMANTLE,short term,80.0
EAST FREMANTLE,Medium term,
EAST FREMANTLE,Long Term,
FREMANTLE,Holiday,147.12
FREMANTLE,short term,50.0
FREMANTLE,Medium term,
FREMANTLE,Long Term,
GOSNELLS,Holiday,57.5
GOSNELLS,short term,69.0
GOSNELLS,Medium term,
GOSNELLS,Long Term,
JOONDALUP,Holiday,90.86
JOONDALUP,short term,285.0
JOONDALUP,Medium term,
JOONDALUP,Long Term,
KALAMUNDA,Holiday,61.6
KALAMUNDA,short term,
KALAMUNDA,Medium term,
KALAMUNDA,Long Term,
KWINANA,Holiday,60.67
KWINANA,short term,
KWINANA,Medium term,
KWINANA,Long Term,
MANDURAH,Holiday,70.38
MANDURAH,short term,
MANDURAH,Medium term,
MANDURAH,Long Term,
MELVILLE,Holiday,78.08
MELVILLE,short term,
MELVILLE,Medium term,
MELVILLE,Long Term,
MOSMAN PARK,Holiday,101.09
MOSMAN PARK,short term,
MOSMAN PARK,Medium term,
MOSMAN PARK,Long Term,
MUNDARING,Holiday,45.0
MUNDARING,short term,
MUNDARING,Medium term,
MUNDARING,Long Term,
NEDLANDS,Holiday,76.44
NEDLANDS,short term,
NEDLANDS,Medium term,54.0
NEDLANDS,Long Term,
PERTH,Holiday,106.96
PERTH,short term,
PERTH,Medium term,
PERTH,Long Term,71.0
ROCKINGHAM,Holiday,169.38
ROCKINGHAM,short term,
ROCKINGHAM,Medium term,
ROCKINGHAM,Long Term,
SERPENTINE-JARRAHDALE,Holiday,91.0
SERPENTINE-JARRAHDALE,short term,
SERPENTINE-JARRAHDALE,Medium term,
SERPENTINE-JARRAHDALE,Long Term,
SOUTH PERTH,Holiday,125.24
SOUTH PERTH,short term,
SOUTH PERTH,Medium term,
SOUTH PERTH,Long Term,
STIRLING,Holiday,99.78
STIRLING,short term,71.75
STIRLING,Medium term,
STIRLING,Long Term,
SUBIACO,Holiday,109.6
SUBIACO,short term,
SUBIACO,Medium term,
SUBIACO,Long Term,
SWAN,Holiday,240.43
SWAN,short term,
SWAN,Medium term,
SWAN,Long Term,
VICTORIA PARK,Holiday,55.36
VICTORIA PARK,short term,
VICTORIA PARK,Medium term,
VICTORIA PARK,Long Term,1000.0
VINCENT,Holiday,103.69
VINCENT,short term,
VINCENT,Medium term,
VINCENT,Long Term,
WANNEROO,Holiday,116.45
WANNEROO,short term,
WANNEROO,Medium term,
WANNEROO,Long Term,
