neighbourhood,Stay classification,Average Price
ARMADALE,Holiday,172.4705882
ARMADALE,short term,160
ARMADALE,Medium term,
ARMADALE,Long Term,
BASSENDEAN,Holiday,132.9285714
BASSENDEAN,short term,
BASSENDEAN,Medium term,
BASSENDEAN,Long Term,133
BAYSWATER,Holiday,144.4210526
BAYSWATER,short term,89
BAYSWATER,Medium term,75
BAYSWATER,Long Term,
BELMONT,Holiday,159.4482759
BELMONT,short term,
BELMONT,Medium term,
BELMONT,Long Term,75
CAMBRIDGE,Holiday,197.6444444
CAMBRIDGE,short term,70
CAMBRIDGE,Medium term,
CAMBRIDGE,Long Term,
CANNING,Holiday,151.1643836
CANNING,short term,70
CANNING,Medium term,
CANNING,Long Term,
CLAREMONT,Holiday,196.3888889
CLAREMONT,short term,
CLAREMONT,Medium term,
CLAREMONT,Long Term,
COCKBURN,Holiday,162.625
COCKBURN,short term,
COCKBURN,Medium term,
COCKBURN,Long Term,
COTTESLOE,Holiday,289.1071429
COTTESLOE,short term,306
COTTESLOE,Medium term,150
COTTESLOE,Long Term,188
EAST FREMANTLE,Holiday,200.4
EAST FREMANTLE,short term,103
EAST FREMANTLE,Medium term,
EAST FREMANTLE,Long Term,
FREMANTLE,Holiday,177.3402367
FREMANTLE,short term,141.4285714
FREMANTLE,Medium term,180
FREMANTLE,Long Term,219
GOSNELLS,Holiday,127
GOSNELLS,short term,93
GOSNELLS,Medium term,
GOSNELLS,Long Term,
JOONDALUP,Holiday,188.8210526
JOONDALUP,short term,295.75
JOONDALUP,Medium term,
JOONDALUP,Long Term,
KALAMUNDA,Holiday,242.7407407
KALAMUNDA,short term,
KALAMUNDA,Medium term,
KALAMUNDA,Long Term,
KWINANA,Holiday,118
KWINANA,short term,
KWINANA,Medium term,
KWINANA,Long Term,
MANDURAH,Holiday,270.2096774
MANDURAH,short term,106
MANDURAH,Medium term,
MANDURAH,Long Term,
MELVILLE,Holiday,271.5350877
MELVILLE,short term,360.6666667
MELVILLE,Medium term,
MELVILLE,Long Term,
MOSMAN PARK,Holiday,164.125
MOSMAN PARK,short term,
MOSMAN PARK,Medium term,175
MOSMAN PARK,Long Term,
MUNDARING,Holiday,139
MUNDARING,short term,
MUNDARING,Medium term,
MUNDARING,Long Term,
NEDLANDS,Holiday,283
NEDLANDS,short term,142.5
NEDLANDS,Medium term,
NEDLANDS,Long Term,
PERTH,Holiday,162.4046693
PERTH,short term,160
PERTH,Medium term,117
PERTH,Long Term,197.75
ROCKINGHAM,Holiday,174.9405941
ROCKINGHAM,short term,
ROCKINGHAM,Medium term,73
ROCKINGHAM,Long Term,
SERPENTINE-JARRAHDALE,Holiday,230.9333333
SERPENTINE-JARRAHDALE,short term,
SERPENTINE-JARRAHDALE,Medium term,
SERPENTINE-JARRAHDALE,Long Term,
SOUTH PERTH,Holiday,499.5057471
SOUTH PERTH,short term,117.3333333
SOUTH PERTH,Medium term,93
SOUTH PERTH,Long Term,130
STIRLING,Holiday,193.075
STIRLING,short term,154.7142857
STIRLING,Medium term,350
STIRLING,Long Term,185.5
SUBIACO,Holiday,143.9391304
SUBIACO,short term,
SUBIACO,Medium term,135
SUBIACO,Long Term,100
SWAN,Holiday,163.1020408
SWAN,short term,
SWAN,Medium term,
SWAN,Long Term,
VICTORIA PARK,Holiday,166.9710145
VICTORIA PARK,short term,
VICTORIA PARK,Medium term,
VICTORIA PARK,Long Term,
VINCENT,Holiday,148.6285714
VINCENT,short term,107.25
VINCENT,Medium term,
VINCENT,Long Term,74.66666667
WANNEROO,Holiday,129.8888889
WANNEROO,short term,
WANNEROO,Medium term,
WANNEROO,Long Term,
