neighbourhood,Stay classification,Average Price
ARMADALE,Holiday,126.4
ARMADALE,short term,160.0
ARMADALE,Medium term,
ARMADALE,Long Term,
BASSENDEAN,Holiday,104.80952380952381
BASSENDEAN,short term,
BASSENDEAN,Medium term,
BASSENDEAN,Long Term,133.0
BAYSWATER,Holiday,124.41
BAYSWATER,short term,89.0
BAYSWATER,Medium term,75.0
BAYSWATER,Long Term,
BELMONT,Holiday,139.28021978021977
BELMONT,short term,87.5
BELMONT,Medium term,
BELMONT,Long Term,75.0
CAMBRIDGE,Holiday,183.48076923076923
CAMBRIDGE,short term,70.0
CAMBRIDGE,Medium term,
CAMBRIDGE,Long Term,
CANNING,Holiday,112.77235772357723
CANNING,short term,70.0
CANNING,Medium term,
CANNING,Long Term,
CLAREMONT,Holiday,166.82608695652175
CLAREMONT,short term,33.0
CLAREMONT,Medium term,
CLAREMONT,Long Term,
COCKBURN,Holiday,133.92307692307693
COCKBURN,short term,
COCKBURN,Medium term,
COCKBURN,Long Term,
COTTESLOE,Holiday,272.44086021505376
COTTESLOE,short term,306.0
COTTESLOE,Medium term,150.0
COTTESLOE,Long Term,188.0
EAST FREMANTLE,Holiday,184.15
EAST FREMANTLE,short term,91.5
EAST FREMANTLE,Medium term,
EAST FREMANTLE,Long Term,
FREMANTLE,Holiday,173.55874673629242
FREMANTLE,short term,141.42857142857142
FREMANTLE,Medium term,180.0
FREMANTLE,Long Term,219.0
GOSNELLS,Holiday,96.71666666666667
GOSNELLS,short term,93.0
GOSNELLS,Medium term,
GOSNELLS,Long Term,
JOONDALUP,Holiday,161.20472440944883
JOONDALUP,short term,295.75
JOONDALUP,Medium term,
JOONDALUP,Long Term,
KALAMUNDA,Holiday,182.425
KALAMUNDA,short term,
KALAMUNDA,Medium term,
KALAMUNDA,Long Term,
KWINANA,Holiday,68.0
KWINANA,short term,
KWINANA,Medium term,
KWINANA,Long Term,
MANDURAH,Holiday,262.0257731958763
MANDURAH,short term,106.0
MANDURAH,Medium term,
MANDURAH,Long Term,
MELVILLE,Holiday,231.91489361702128
MELVILLE,short term,360.6666666666667
MELVILLE,Medium term,
MELVILLE,Long Term,
MOSMAN PARK,Holiday,149.1904761904762
MOSMAN PARK,short term,
MOSMAN PARK,Medium term,175.0
MOSMAN PARK,Long Term,
MUNDARING,Holiday,112.14285714285714
MUNDARING,short term,
MUNDARING,Medium term,
MUNDARING,Long Term,
NEDLANDS,Holiday,231.5625
NEDLANDS,short term,142.5
NEDLANDS,Medium term,
NEDLANDS,Long Term,
PERTH,Holiday,157.06506849315068
PERTH,short term,160.0
PERTH,Medium term,117.0
PERTH,Long Term,172.4
ROCKINGHAM,Holiday,171.08943089430895
ROCKINGHAM,short term,
ROCKINGHAM,Medium term,73.0
ROCKINGHAM,Long Term,
SERPENTINE-JARRAHDALE,Holiday,216.7058823529412
SERPENTINE-JARRAHDALE,short term,
SERPENTINE-JARRAHDALE,Medium term,
SERPENTINE-JARRAHDALE,Long Term,
SOUTH PERTH,Holiday,421.4234234234234
SOUTH PERTH,short term,117.33333333333333
SOUTH PERTH,Medium term,93.0
SOUTH PERTH,Long Term,130.0
STIRLING,Holiday,173.02513966480447
STIRLING,short term,140.25
STIRLING,Medium term,350.0
STIRLING,Long Term,185.5
SUBIACO,Holiday,142.5084745762712
SUBIACO,short term,
SUBIACO,Medium term,135.0
SUBIACO,Long Term,100.0
SWAN,Holiday,209.54444444444445
SWAN,short term,
SWAN,Medium term,
SWAN,Long Term,
VICTORIA PARK,Holiday,134.22680412371133
VICTORIA PARK,short term,
VICTORIA PARK,Medium term,
VICTORIA PARK,Long Term,
VINCENT,Holiday,132.91034482758621
VINCENT,short term,107.25
VINCENT,Medium term,
VINCENT,Long Term,74.66666666666667
WANNEROO,Holiday,105.23076923076923
WANNEROO,short term,
WANNEROO,Medium term,
WANNEROO,Long Term,
